ORDEN_ID,FECHA,PROVEEDOR_COD,SECRETARIA_COD,IMPORTE
OC-00001,2019-01-04,PROV-398,Secretaría B,753.42
OC-00002,2019-01-04,PROV-020,Secretaría A,2821.57
OC-00003,2019-01-04,PROV-020,Secretaría A,827.0
OC-00004,2019-01-04,PROV-020,Secretaría A,827.0
OC-00005,2019-01-04,PROV-212,Secretaría A,41625.0
OC-00006,2019-01-04,PROV-148,Secretaría A,23716.0
OC-00007,2019-01-04,PROV-168,Secretaría A,4950.0
OC-00008,2019-01-04,PROV-055,Secretaría G,1450.0
OC-00009,2019-01-04,PROV-071,Secretaría B,104981.0
OC-00010,2019-01-04,PROV-312,Secretaría G,68000.0
OC-00011,2019-01-04,PROV-375,Secretaría G,68000.0
OC-00012,2019-01-04,PROV-222,Secretaría B,16785.0
OC-00013,2019-01-04,PROV-226,Secretaría B,76800.0
OC-00014,2019-01-04,PROV-087,Secretaría B,4380.0
OC-00015,2019-01-04,PROV-087,Secretaría B,4380.0
OC-00016,2019-01-04,PROV-087,Secretaría B,4380.0
OC-00017,2019-01-04,PROV-087,Secretaría B,4380.0
OC-00018,2019-01-04,PROV-265,Secretaría B,4900.5
OC-00019,2019-01-04,PROV-020,Secretaría A,2821.57
OC-00020,2019-01-04,PROV-074,Secretaría A,2900.0
OC-00021,2019-01-04,PROV-326,Secretaría B,20550.0
OC-00022,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00023,2019-01-04,PROV-398,Secretaría B,753.42
OC-00024,2019-01-04,PROV-398,Secretaría B,753.42
OC-00025,2019-01-04,PROV-398,Secretaría B,753.42
OC-00026,2019-01-04,PROV-398,Secretaría B,753.42
OC-00027,2019-01-04,PROV-398,Secretaría B,753.42
OC-00028,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00029,2019-01-04,PROV-398,Secretaría B,753.42
OC-00030,2019-01-04,PROV-398,Secretaría B,753.42
OC-00031,2019-01-04,PROV-100,Secretaría A,1100.0
OC-00032,2019-01-04,PROV-398,Secretaría B,753.42
OC-00033,2019-01-04,PROV-070,Secretaría A,1496.0
OC-00034,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00035,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00036,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00037,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00038,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00039,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00040,2019-01-04,PROV-020,Secretaría A,3736.73
OC-00041,2019-01-04,PROV-070,Secretaría A,1496.0
OC-00042,2019-01-07,PROV-066,Secretaría A,48847.0
OC-00043,2019-01-07,PROV-066,Secretaría A,48847.0
OC-00044,2019-01-07,PROV-066,Secretaría A,48847.0
OC-00045,2019-01-07,PROV-020,Secretaría A,785.0
OC-00046,2019-01-07,PROV-066,Secretaría A,48847.0
OC-00047,2019-01-07,PROV-066,Secretaría A,48847.0
OC-00048,2019-01-07,PROV-066,Secretaría A,48847.0
OC-00049,2019-01-07,PROV-020,Secretaría A,5585.0
OC-00050,2019-01-07,PROV-020,Secretaría A,2169.36
OC-00051,2019-01-07,PROV-020,Secretaría A,5585.0
OC-00052,2019-01-07,PROV-020,Secretaría A,1163.91
OC-00053,2019-01-07,PROV-020,Secretaría A,1163.91
OC-00054,2019-01-07,PROV-020,Secretaría A,1163.91
OC-00055,2019-01-07,PROV-020,Secretaría A,1475.0
OC-00056,2019-01-07,PROV-020,Secretaría A,2169.36
OC-00057,2019-01-07,PROV-020,Secretaría A,2169.36
OC-00058,2019-01-07,PROV-020,Secretaría A,785.0
OC-00059,2019-01-07,PROV-020,Secretaría A,5585.0
OC-00060,2019-01-07,PROV-020,Secretaría A,785.0
OC-00061,2019-01-07,PROV-100,Secretaría C,6508.0
OC-00062,2019-01-07,PROV-147,Secretaría B,12480.0
OC-00063,2019-01-07,PROV-055,Secretaría I,5900.0
OC-00064,2019-01-07,PROV-033,Secretaría C,35094.0
OC-00065,2019-01-07,PROV-033,Secretaría C,35094.0
OC-00066,2019-01-07,PROV-033,Secretaría C,35094.0
OC-00067,2019-01-07,PROV-033,Secretaría C,35094.0
OC-00068,2019-01-07,PROV-033,Secretaría C,35094.0
